Model,MAE,MSE,RMSE,MAPE (%),R2 Square
Linear Regression,195916.64135791236,138452708832.30518,372092.33912068815,64.32201487058784,0.2970737310147621
Decision Tree,153004.03665754007,104626186291.62584,323459.7135527481,45.13541386468687,0.4688114419111541
Random Forest,137184.9289070069,84647846454.37013,290943.02956828184,39.16505908180458,0.5702417425586528
